date,btcPrice,cbbiConfidence,regime,dailyReturn,portfolioReturn,equity,bull2x,bull3x,bear1x,usdc,spot
2015-11-03,400.92,0.2380,ACCUMULATION,0.099574,0.069702,125946.40,0.000,0.000,0.000,0.300,0.700
2015-11-04,405.48,0.2676,NORMAL,0.011370,0.013644,127664.84,0.250,0.150,0.000,0.350,0.250
2015-11-05,384.34,0.2801,NORMAL,-0.052137,-0.062564,119677.62,0.250,0.150,0.000,0.350,0.250
2015-11-06,372.98,0.2638,NORMAL,-0.029572,-0.035487,115430.67,0.250,0.150,0.000,0.350,0.250
2015-11-07,386.50,0.2559,NORMAL,0.036274,0.043528,120455.16,0.250,0.150,0.000,0.350,0.250
2015-11-08,372.40,0.2567,NORMAL,-0.036492,-0.043791,115180.34,0.250,0.150,0.000,0.350,0.250
2015-11-09,380.50,0.2574,NORMAL,0.021739,0.026087,118185.00,0.250,0.150,0.000,0.350,0.250
2015-11-10,337.83,0.2526,NORMAL,-0.112130,-0.134557,102282.43,0.250,0.150,0.000,0.350,0.250
2015-11-11,308.92,0.2389,ACCUMULATION,-0.085570,-0.059899,96155.78,0.000,0.000,0.000,0.300,0.700
2015-11-12,337.52,0.2128,ACCUMULATION,0.092583,0.064808,102387.43,0.000,0.000,0.000,0.300,0.700
2015-11-13,337.28,0.2212,ACCUMULATION,-0.000723,-0.000506,102335.61,0.000,0.000,0.000,0.300,0.700
2015-11-14,333.05,0.2189,ACCUMULATION,-0.012547,-0.008783,101436.80,0.000,0.000,0.000,0.300,0.700
2015-11-15,319.93,0.2200,ACCUMULATION,-0.039391,-0.027574,98639.81,0.000,0.000,0.000,0.300,0.700
2015-11-16,331.13,0.2176,ACCUMULATION,0.035023,0.024516,101058.04,0.000,0.000,0.000,0.300,0.700
2015-11-17,335.85,0.2151,ACCUMULATION,0.014245,0.009972,102065.76,0.000,0.000,0.000,0.300,0.700
2015-11-18,335.74,0.2218,ACCUMULATION,-0.000313,-0.000219,102043.36,0.000,0.000,0.000,0.300,0.700
2015-11-19,326.23,0.2164,ACCUMULATION,-0.028332,-0.019832,100019.59,0.000,0.000,0.000,0.300,0.700
2015-11-20,321.94,0.2178,ACCUMULATION,-0.013155,-0.009209,99098.54,0.000,0.000,0.000,0.300,0.700
2015-11-21,325.91,0.2155,ACCUMULATION,0.012315,0.008621,99952.83,0.000,0.000,0.000,0.300,0.700
2015-11-22,323.72,0.2177,ACCUMULATION,-0.006714,-0.004700,99483.04,0.000,0.000,0.000,0.300,0.700
2015-11-23,323.01,0.2149,ACCUMULATION,-0.002176,-0.001523,99331.51,0.000,0.000,0.000,0.300,0.700
2015-11-24,319.96,0.2126,ACCUMULATION,-0.009446,-0.006612,98674.71,0.000,0.000,0.000,0.300,0.700
2015-11-25,328.96,0.2106,ACCUMULATION,0.028126,0.019688,100617.40,0.000,0.000,0.000,0.300,0.700
2015-11-26,356.26,0.2238,ACCUMULATION,0.082973,0.058081,106461.37,0.000,0.000,0.000,0.300,0.700
2015-11-27,359.27,0.2271,ACCUMULATION,0.008459,0.005921,107091.76,0.000,0.000,0.000,0.300,0.700
2015-11-28,356.57,0.2408,ACCUMULATION,-0.007519,-0.005264,106528.07,0.000,0.000,0.000,0.300,0.700
2015-11-29,371.71,0.2410,ACCUMULATION,0.042461,0.029723,109694.39,0.000,0.000,0.000,0.300,0.700
2015-11-30,377.39,0.2510,NORMAL,0.015287,0.018344,111706.64,0.250,0.150,0.000,0.350,0.250
2015-12-01,362.53,0.2584,NORMAL,-0.039369,-0.047243,106429.31,0.250,0.150,0.000,0.350,0.250
2015-12-02,359.22,0.2518,NORMAL,-0.009130,-0.010956,105263.25,0.250,0.150,0.000,0.350,0.250
2015-12-03,361.21,0.2436,ACCUMULATION,0.005533,0.003873,105670.96,0.000,0.000,0.000,0.300,0.700
2015-12-04,363.24,0.2489,ACCUMULATION,0.005624,0.003937,106086.99,0.000,0.000,0.000,0.300,0.700
2015-12-05,389.36,0.2569,NORMAL,0.071912,0.086294,115241.67,0.250,0.150,0.000,0.350,0.250
2015-12-06,393.32,0.2676,NORMAL,0.010161,0.012193,116646.78,0.250,0.150,0.000,0.350,0.250
2015-12-07,395.35,0.2712,NORMAL,0.005155,0.006186,117368.32,0.250,0.150,0.000,0.350,0.250
2015-12-08,413.80,0.2808,NORMAL,0.046673,0.056008,123941.86,0.250,0.150,0.000,0.350,0.250
2015-12-09,417.63,0.2842,NORMAL,0.009265,0.011118,125319.91,0.250,0.150,0.000,0.350,0.250
2015-12-10,415.73,0.3020,NORMAL,-0.004556,-0.005467,124634.75,0.250,0.150,0.000,0.350,0.250
2015-12-11,453.86,0.2940,NORMAL,0.091722,0.110066,138352.84,0.250,0.150,0.000,0.350,0.250
2015-12-12,435.86,0.3062,NORMAL,-0.039672,-0.047607,131766.30,0.250,0.150,0.000,0.350,0.250
2015-12-13,434.40,0.3004,NORMAL,-0.003332,-0.003998,131239.45,0.250,0.150,0.000,0.350,0.250
2015-12-14,442.99,0.3110,NORMAL,0.019770,0.023724,134353.00,0.250,0.150,0.000,0.350,0.250
2015-12-15,464.62,0.3147,NORMAL,0.048818,0.058582,142223.69,0.250,0.150,0.000,0.350,0.250
2015-12-16,454.14,0.3200,NORMAL,-0.022546,-0.027055,138375.76,0.250,0.150,0.000,0.350,0.250
2015-12-17,456.24,0.3176,NORMAL,0.004619,0.005543,139142.74,0.250,0.150,0.000,0.350,0.250
2015-12-18,463.18,0.3207,NORMAL,0.015202,0.018242,141680.99,0.250,0.150,0.000,0.350,0.250
2015-12-19,461.40,0.3206,NORMAL,-0.003834,-0.004601,141029.12,0.250,0.150,0.000,0.350,0.250
2015-12-20,442.15,0.3218,NORMAL,-0.041712,-0.050054,133969.99,0.250,0.150,0.000,0.350,0.250
2015-12-21,437.64,0.3108,NORMAL,-0.010209,-0.012251,132328.79,0.250,0.150,0.000,0.350,0.250
2015-12-22,435.27,0.3052,NORMAL,-0.005419,-0.006503,131468.22,0.250,0.150,0.000,0.350,0.250
2015-12-23,442.67,0.3070,NORMAL,0.016995,0.020394,134149.36,0.250,0.150,0.000,0.350,0.250
2015-12-24,455.88,0.3051,NORMAL,0.029849,0.035818,138954.38,0.250,0.150,0.000,0.350,0.250
2015-12-25,455.72,0.3172,NORMAL,-0.000351,-0.000421,138895.90,0.250,0.150,0.000,0.350,0.250
2015-12-26,418.22,0.3178,NORMAL,-0.082282,-0.098738,125181.60,0.250,0.150,0.000,0.350,0.250
2015-12-27,422.71,0.3116,NORMAL,0.010722,0.012867,126792.31,0.250,0.150,0.000,0.350,0.250
2015-12-28,421.05,0.2958,NORMAL,-0.003911,-0.004693,126197.31,0.250,0.150,0.000,0.350,0.250
2015-12-29,431.34,0.2995,NORMAL,0.024432,0.029318,129897.21,0.250,0.150,0.000,0.350,0.250
2015-12-30,426.04,0.3032,NORMAL,-0.012279,-0.014735,127983.22,0.250,0.150,0.000,0.350,0.250
2015-12-31,429.68,0.2961,NORMAL,0.008528,0.010234,129293.02,0.250,0.150,0.000,0.350,0.250
2016-01-01,434.68,0.2942,NORMAL,0.011639,0.013966,131098.77,0.250,0.150,0.000,0.350,0.250
2016-01-02,434.44,0.2984,NORMAL,-0.000548,-0.000657,131012.59,0.250,0.150,0.000,0.350,0.250
2016-01-03,430.14,0.2981,NORMAL,-0.009906,-0.011888,129455.17,0.250,0.150,0.000,0.350,0.250
2016-01-04,433.45,0.3052,NORMAL,0.007702,0.009242,130651.60,0.250,0.150,0.000,0.350,0.250
2016-01-05,432.67,0.2999,NORMAL,-0.001798,-0.002158,130369.66,0.250,0.150,0.000,0.350,0.250
2016-01-06,430.68,0.2970,NORMAL,-0.004603,-0.005524,129649.53,0.250,0.150,0.000,0.350,0.250
2016-01-07,459.21,0.3004,NORMAL,0.066247,0.079496,139956.18,0.250,0.150,0.000,0.350,0.250
2016-01-08,454.13,0.3169,NORMAL,-0.011051,-0.013261,138100.27,0.250,0.150,0.000,0.350,0.250
2016-01-09,449.85,0.3152,NORMAL,-0.009445,-0.011334,136535.08,0.250,0.150,0.000,0.350,0.250
2016-01-10,448.58,0.3195,NORMAL,-0.002812,-0.003374,136074.34,0.250,0.150,0.000,0.350,0.250
2016-01-11,449.03,0.3181,NORMAL,0.001010,0.001211,136239.18,0.250,0.150,0.000,0.350,0.250
2016-01-12,441.77,0.3190,NORMAL,-0.016179,-0.019415,133594.12,0.250,0.150,0.000,0.350,0.250
2016-01-13,432.31,0.3116,NORMAL,-0.021408,-0.025690,130162.09,0.250,0.150,0.000,0.350,0.250
2016-01-14,429.82,0.3019,NORMAL,-0.005754,-0.006905,129263.39,0.250,0.150,0.000,0.350,0.250
2016-01-15,367.82,0.2908,NORMAL,-0.144245,-0.173094,106888.61,0.250,0.150,0.000,0.350,0.250
2016-01-16,388.07,0.2762,NORMAL,0.055048,0.066058,113949.44,0.250,0.150,0.000,0.350,0.250
2016-01-17,382.48,0.2734,NORMAL,-0.014402,-0.017283,111980.08,0.250,0.150,0.000,0.350,0.250
2016-01-18,384.87,0.2813,NORMAL,0.006231,0.007477,112817.32,0.250,0.150,0.000,0.350,0.250
2016-01-19,378.16,0.2702,NORMAL,-0.017418,-0.020901,110459.30,0.250,0.150,0.000,0.350,0.250
